DEPARTURE DATE,ADT,forecast
2018-05-13,1570.0,
2018-05-20,2021.0,
2018-05-27,5180.0,
2018-06-03,5188.0,
2018-06-10,6277.0,
2018-06-17,21095.0,
2018-06-24,18840.0,
2018-07-01,16109.0,
2018-07-08,11924.0,
2018-07-15,7321.0,
2018-07-22,7226.0,
2018-07-29,5151.0,
2018-08-05,4401.0,
2018-08-12,4080.0,
2018-08-19,6906.0,
2018-08-26,5544.0,
2018-09-02,8834.0,
2018-09-09,8515.0,
2018-09-16,2795.0,
2018-09-23,3747.0,
2018-09-30,7006.0,
2018-10-07,2455.0,
2018-10-14,3223.0,
2018-10-21,2848.0,
2018-10-28,4961.0,
2018-11-04,3435.0,
2018-11-11,2097.0,
2018-11-18,2082.0,
2018-11-25,3615.0,
2018-12-02,1967.0,
2018-12-09,465.0,
2018-12-16,1839.0,
2018-12-23,11468.0,
2018-12-30,6806.0,
2019-01-06,11340.0,
2019-01-13,3184.0,
2019-01-20,2476.0,
2019-01-27,565.0,
2019-02-03,219.0,
2019-02-10,85.0,
2019-02-17,2284.0,
2019-02-24,2128.0,
2019-03-03,676.0,
2019-03-10,1823.0,
2019-03-17,449.0,
2019-03-24,924.0,
2019-03-31,2948.0,
2019-04-07,545.0,
2019-04-14,2837.0,
2019-04-21,2485.0,
2019-04-28,1055.0,
2019-05-05,2820.0,
2019-05-12,1987.0,
2019-05-19,5686.0,
2019-05-26,8550.0,
2019-06-02,4711.0,
2019-06-09,3802.0,
2019-06-16,8372.0,
2019-06-23,7498.0,
2019-06-30,3547.0,
2019-07-07,4927.0,
2019-07-14,1861.0,
2019-07-21,1086.0,
2019-07-28,1479.0,
2019-08-04,3808.0,
2019-08-11,1956.0,
2019-08-18,1000.0,
2019-08-25,2090.0,
2019-09-01,2026.0,
2019-09-08,407.0,
2019-09-15,1579.0,
2019-09-22,2516.0,
2019-09-29,2682.0,
2019-10-06,3140.0,
2019-10-13,2308.0,
2019-10-20,1988.0,
2019-10-27,1048.0,
2019-11-03,2388.0,
2019-11-10,1355.0,
2019-11-17,3153.0,
2019-11-24,3207.0,
2019-12-01,3472.0,
2019-12-08,1909.0,
2019-12-15,766.0,
2019-12-22,9336.0,
2019-12-29,4206.0,
2020-01-05,11831.0,
2020-01-12,4405.0,
2020-01-19,865.0,
2020-01-26,1620.0,
2020-02-02,873.0,
2020-02-09,1664.0,
2020-02-16,1467.0,
2020-02-23,1402.0,
2020-03-01,1345.0,
2020-03-08,1226.0,
2020-03-15,4447.0,
2020-03-22,4878.0,
2020-03-29,3686.0,
2020-04-05,4820.0,
2020-04-12,2706.0,
2020-04-19,3852.0,
2020-04-26,1502.0,
2020-05-03,922.0,
2020-05-10,231.0,
2020-05-17,3203.0,
2020-05-24,1589.0,
2020-05-31,1162.0,
2020-06-07,0.0,
2020-06-14,2124.0,
2020-06-21,1712.0,
2020-06-28,1985.0,
2020-07-05,1976.0,
2020-07-12,1979.0,
2020-07-19,2603.0,
2020-07-26,2234.0,
2020-08-02,2051.0,
2020-08-09,1040.0,
2020-08-16,1540.0,
2020-08-23,1337.0,
2020-08-30,903.0,
2020-09-06,425.0,
2020-09-13,673.0,
2020-09-20,1435.0,
2020-09-27,874.0,
2020-10-04,2032.0,
2020-10-11,1383.0,
2020-10-18,3254.0,
2020-10-25,3338.0,
2020-11-01,741.0,
2020-11-08,411.0,
2020-11-15,1941.0,
2020-11-22,1794.0,
2020-11-29,390.0,
2020-12-06,1064.0,
2020-12-13,1548.0,
2020-12-20,1288.0,
2020-12-27,3342.0,
2021-01-03,658.0,
2021-01-10,2456.0,
2021-01-17,288.0,
2021-01-24,48.0,
2021-01-31,508.0,
2021-02-07,210.0,
2021-02-14,396.0,
2021-02-21,232.0,
2021-02-28,0.0,
2021-03-07,326.0,
2021-03-14,1163.0,
2021-03-21,3578.0,
2021-03-28,654.0,
2021-04-04,358.0,
2021-04-11,480.0,
2021-04-18,100.0,
2021-04-25,180.0,
2021-05-02,481.0,
2021-05-09,94.0,
2021-05-16,150.0,
2021-05-23,850.0,
2021-05-30,863.0,
2021-06-06,2739.0,
2021-06-13,859.0,
2021-06-20,1864.0,
2021-06-27,2041.0,
2021-07-04,3472.0,
2021-07-11,367.0,
2021-07-18,1823.0,
2021-07-25,4041.0,
2021-08-01,3915.0,
2021-08-08,3898.0,
2021-08-15,6511.0,
2021-08-22,4657.0,
2021-08-29,3684.0,
2021-09-05,3562.0,
2021-09-12,3161.0,
2021-09-19,2599.0,
2021-09-26,2915.0,
2021-10-03,2434.0,
2021-10-10,3191.0,
2021-10-17,1013.0,
2021-10-24,886.0,
2021-10-31,3138.0,
2021-11-07,922.0,
2021-11-14,2595.0,
2021-11-21,3662.0,
2021-11-28,2958.0,
2021-12-05,1122.0,
2021-12-12,2467.0,
2021-12-19,3341.0,
2021-12-26,1686.0,
2022-01-02,5008.0,
2022-01-09,4043.0,
2022-01-16,1955.0,
2022-01-23,974.0,
2022-01-30,415.0,
2022-02-06,252.0,
2022-02-13,1252.0,
2022-02-20,2086.0,
2022-02-27,1471.0,
2022-03-06,2868.0,
2022-03-13,1544.0,
2022-03-20,3942.0,
2022-03-27,960.0,
2022-04-03,752.0,
2022-04-10,,1056.0
2022-04-17,,1092.0
2022-04-24,,295.0
2022-05-01,,697.0
2022-05-08,,551.0
2022-05-15,,1776.0
2022-05-22,,2777.0
2022-05-29,,2006.0
2022-06-05,,2425.0
2022-06-12,,5584.0
2022-06-19,,5262.0
2022-06-26,,4216.0
2022-07-03,,4240.0
2022-07-10,,1856.0
2022-07-17,,2357.0
2022-07-24,,2762.0
2022-07-31,,2961.0
2022-08-07,,2399.0
2022-08-14,,3732.0
2022-08-21,,2989.0
2022-08-28,,3176.0
2022-09-04,,2731.0
2022-09-11,,1810.0
2022-09-18,,2094.0
2022-09-25,,2736.0
2022-10-02,,2022.0
2022-10-09,,2179.0
2022-10-16,,1633.0
2022-10-23,,1833.0
2022-10-30,,2120.0
2022-11-06,,882.0
2022-11-13,,2027.0
2022-11-20,,2654.0
2022-11-27,,1916.0
2022-12-04,,848.0
2022-12-11,,1402.0
2022-12-18,,4853.0
2022-12-25,,2855.0
2023-01-01,,5703.0
2023-01-08,,2952.0
2023-01-15,,1190.0
2023-01-22,,640.0
2023-01-29,,358.0
2023-02-05,,362.0
2023-02-12,,1097.0
2023-02-19,,1306.0
2023-02-26,,768.0
2023-03-05,,1481.0
2023-03-12,,1451.0
2023-03-19,,2838.0
2023-03-26,,1462.0
2023-04-02,,1089.0
